new_names,old_names,Animal,Sex,Genotype,Age
AB7923,AB7923,AB7923,M,ctrl,42
AB7922,AB7922,AB7922,M,ctrl,42
AB7921,AB7921,AB7921,F,ctrl,42
AB7920,AB7920,AB7920,F,ctrl,42
AB7919,AB7919,AB7919,M,cko,42
AB7918,AB7918,AB7918,F,cko,42
AB7917,AB7917,AB7917,F,cko,42
AB7924,AB7924,AB7924,F,ctrl,42
AB7926,AB7926,AB7926,F,ctrl,42
AB7927,AB7927,AB7927,M,ctrl,42
AB7928,AB7928,AB7928,F,ctrl,42
AB7929,AB7929,AB7929,M,cko,42
AB7930,AB7930,AB7930,M,cko,42
AB7931,AB7931,AB7931,F,cko,42
AB7932,AB7932,AB7932,F,cko,42
AB7933,AB7933,AB7933,F,cko,42
